TSTART (NuSTAR MET),TSTOP (NuSTAR MET),TPEAK (NuSTAR MET),T90 (s),FLUENCE (erg cm-2),FLUENCE_ERR (erg cm-2),HARDNESS (10-79keV/3-10keV),HARDNESS_ERR
403409905.599507,403409906.960375,403409906.491022,1.360868,1.375e-09,3.815e-10,0.627,0.356
403410000.364839,403410000.470499,403410000.39632,0.10566,1.175e-09,3.564e-10,0.570,0.354
403410099.171249,403410100.30121,403410099.371248,1.129961,5.072e-08,3.158e-09,0.567,0.074
403410222.543739,403410222.787176,403410222.644729,0.243437,8.333e-10,2.962e-10,3.024,2.475
403410301.689052,403410302.129653,403410302.01039505,0.440601,5.271e-10,2.359e-10,1.500,1.372
403410446.88216,403410447.522143,403410447.06216,0.639983,4.754e-09,7.329e-10,0.452,0.151
403410531.013931,403410531.35174,403410531.02718806,0.337809,1.471e-09,3.916e-10,0.744,0.401
403410532.867068,403410534.027018,403410532.9270741,1.15995,1.508e-08,1.406e-09,0.490,0.097
403410608.305717,403410609.280335,403410608.39246607,0.974617,2.460e-09,5.120e-10,1.103,0.459
403410680.475497,403410680.965281,403410680.51793504,0.489784,2.641e-09,5.271e-10,0.468,0.200
403410703.68619,403410703.919442,403410703.786445,0.233252,1.662e-09,4.267e-10,0.498,0.272
403410783.396871,403410784.064384,403410783.89121604,0.667514,1.486e-09,3.966e-10,0.281,0.185
403410878.997479,403410879.061631,403410879.024793,0.064152,4.116e-10,2.058e-10,0.976,0.988
403411016.765066,403411017.595026,403411016.795074,0.82996,5.532e-09,7.881e-10,0.640,0.188
403411042.677782,403411042.833296,403411042.783185,0.155514,5.171e-10,2.309e-10,1.512,1.384
403411248.629807,403411248.825803,403411248.767589,0.195996,1.802e-09,4.367e-10,0.547,0.278
403411261.48658,403411262.556516,403411261.516588,1.069936,9.719e-09,1.049e-09,0.682,0.150
403411274.605546,403411275.395503,403411275.215508,0.789958,1.159e-08,1.185e-09,0.713,0.148
403411468.019803,403411468.789759,403411468.22979605,0.769956,7.856e-09,9.588e-10,0.264,0.079
403411522.085017,403411522.665138,403411522.2552401,0.580122,2.816e-09,5.522e-10,0.626,0.251
403411622.053946,403411622.539074,403411622.09665203,0.485128,1.857e-09,4.518e-10,0.907,0.441
403411847.707069,403411847.816582,403411847.7665111,0.109513,1.993e-09,4.669e-10,0.636,0.307
403412002.072242,403412002.362235,403412002.102249,0.289993,6.275e-09,8.685e-10,0.616,0.176
403412103.543417,403412103.779485,403412103.6526971,0.236068,2.108e-09,4.819e-10,0.561,0.267
403412212.722316,403412213.532258,403412212.872311,0.809943,2.243e-08,1.852e-09,0.515,0.090
403412242.612125,403412243.054505,403412242.9394361,0.44238,1.662e-09,4.267e-10,0.498,0.272
403412623.542811,403412624.292759,403412624.162761,0.749948,9.518e-09,1.185e-09,0.653,0.166
403412642.9034,403412643.037371,403412643.020952,0.133971,1.044e-09,3.665e-10,0.333,0.274
403412698.29565,403412698.465653,403412698.385651,0.170004,4.990e-09,8.183e-10,0.858,0.283
403415445.355515,403415445.975505,403415445.835502,0.61999,1.464e-08,1.386e-09,0.640,0.123
403415494.780576,403415495.234757,403415495.033134,0.454181,1.049e-09,3.313e-10,0.000,0.000
403415528.477231,403415528.900463,403415528.70150805,0.423232,6.275e-10,2.560e-10,0.506,0.433
403415744.370899,403415746.340821,403415744.6408961,1.969921,4.931e-08,2.977e-09,0.437,0.057
403415809.468955,403415809.695706,403415809.567618,0.226751,7.430e-10,2.811e-10,2.524,2.071
403415826.77673,403415827.086734,403415826.896734,0.310004,5.311e-09,7.831e-10,0.437,0.140
403415994.850994,403415994.977046,403415994.867947,0.126053,3.112e-10,1.807e-10,2.000,2.430
403416400.90101,403416401.221907,403416400.95455503,0.320897,3.308e-09,6.024e-10,0.877,0.321
403416441.074838,403416441.595694,403416441.542016,0.520856,1.682e-09,4.217e-10,0.772,0.389
403416488.380028,403416488.529425,403416488.52902806,0.149397,5.622e-10,2.510e-10,0.258,0.290
403416494.139729,403416494.383937,403416494.168666,0.244208,1.059e-09,3.363e-10,0.661,0.427
403416515.77726,403416516.267248,403416516.107249,0.489988,1.214e-08,1.280e-09,0.551,0.121
403416703.021942,403416704.819777,403416703.9346161,1.797835,1.561e-09,4.016e-10,0.364,0.215
403416728.072404,403416728.366562,403416728.212916,0.294158,1.285e-09,3.715e-10,0.718,0.420
403416912.559497,403416912.959487,403416912.809489,0.39999,8.730e-09,1.024e-09,0.663,0.159
403416990.593007,403416990.703359,403416990.633561,0.110352,7.430e-10,2.811e-10,0.741,0.569
403417118.723458,403417118.993456,403417118.81346107,0.269998,7.274e-09,9.387e-10,0.617,0.163
403417349.629451,403417349.769412,403417349.74425805,0.139961,7.480e-10,2.811e-10,0.733,0.556
403417414.273721,403417414.483022,403417414.288676,0.209301,1.867e-09,4.518e-10,3.276,1.889
403417428.723997,403417428.780763,403417428.747414,0.056766,4.367e-10,2.159e-10,1.000,1.020
403417619.47825,403417619.516223,403417619.510381,0.037973,4.367e-10,2.209e-10,1.023,1.015
403417623.325532,403417623.582909,403417623.45002306,0.257377,1.968e-09,4.669e-10,1.253,0.597
403417705.475308,403417708.337231,403417705.96245503,2.861923,2.520e-09,5.271e-10,0.360,0.171
403417833.823147,403417833.953095,403417833.830536,0.129948,8.634e-10,3.062e-10,0.607,0.448
403417911.051149,403417911.152666,403417911.06324303,0.101517,8.383e-10,2.962e-10,1.694,1.242
403417998.128075,403417999.599733,403417998.28493905,1.471658,1.491e-09,3.966e-10,0.560,0.314
403418014.485683,403418014.609271,403418014.543385,0.123587,7.279e-10,2.761e-10,0.394,0.329
403418088.499756,403418089.148121,403418089.016245,0.648364,2.179e-09,4.869e-10,0.311,0.159
403418224.74144,403418224.9154,403418224.763173,0.17396,5.422e-10,2.410e-10,0.256,0.286
403418249.649571,403418249.803831,403418249.6907691,0.154261,2.128e-09,4.869e-10,0.901,0.413
403418296.021524,403418296.128511,403418296.056298,0.106986,5.522e-10,2.460e-10,1.444,1.330
403418320.093971,403418320.253976,403418320.123978,0.160005,4.242e-09,7.078e-10,0.724,0.246
403418335.012534,403418335.602497,403418335.242522,0.589963,8.539e-09,1.019e-09,0.549,0.137
403421163.894487,403421163.948653,403421163.90092206,0.054166,6.225e-10,2.560e-10,1.000,0.821
403421284.881012,403421285.84893,403421285.125093,0.967917,1.461e-09,3.916e-10,0.169,0.126
403421610.694189,403421611.601986,403421610.719,0.907797,2.550e-09,5.221e-10,0.603,0.255
403421838.057003,403421839.146964,403421838.886968,1.089961,3.041e-08,2.128e-09,0.482,0.072
403421899.893592,403421900.693567,403421900.543566,0.799975,5.381e-09,7.781e-10,0.414,0.132
403422011.306672,403422014.561209,403422011.537254,3.254538,3.579e-09,6.124e-10,0.417,0.158
403422174.659582,403422174.941583,403422174.7374921,0.282001,3.685e-09,6.426e-10,0.733,0.258
403422200.205903,403422200.655895,403422200.31590605,0.449992,2.394e-08,1.928e-09,0.703,0.115
403422229.916697,403422229.930755,403422229.92405105,0.014058,6.225e-10,2.560e-10,1.000,0.821
403422533.043785,403422533.633764,403422533.39377105,0.589978,1.292e-08,1.290e-09,0.470,0.101
403422536.963508,403422538.06345,403422537.53347707,1.099942,3.251e-08,2.294e-09,0.508,0.076
403422680.142717,403422681.919766,403422681.84298,1.777048,2.962e-09,5.572e-10,1.007,0.379
403422724.112591,403422725.246845,403422724.12980103,1.134254,1.677e-09,4.217e-10,0.763,0.384
403422944.350685,403422944.507271,403422944.442495,0.156586,5.321e-10,2.410e-10,0.656,0.603
403423057.629977,403423057.736332,403423057.723132,0.106355,4.167e-10,2.108e-10,0.339,0.392
403423127.953348,403423128.649784,403423128.0471691,0.696436,1.380e-09,3.815e-10,0.185,0.141
403423197.251812,403423198.12924,403423197.26119506,0.877428,2.058e-09,4.719e-10,0.444,0.221
403423405.047581,403423405.23315,403423405.142679,0.185569,3.896e-09,6.677e-10,0.780,0.270
403423428.467226,403423428.5964,403423428.4805521,0.129174,8.484e-10,3.012e-10,0.323,0.264
403423436.44607,403423436.691469,403423436.5898111,0.245399,1.426e-09,3.966e-10,0.632,0.358
403423656.906483,403423657.071612,403423656.929309,0.165129,1.270e-09,3.665e-10,0.337,0.224
403423966.610414,403423966.738244,403423966.71968305,0.12783,1.190e-09,3.614e-10,0.566,0.354
403424036.76966,403424036.884633,403424036.79292405,0.114974,7.630e-10,2.861e-10,0.421,0.354
403424070.454433,403424070.7117,403424070.61966,0.257267,1.340e-09,3.865e-10,0.475,0.291
403424270.388835,403424271.042873,403424270.950389,0.654039,2.515e-09,5.221e-10,0.278,0.141
403424322.952789,403424322.979422,403424322.96541905,0.026633,4.267e-10,2.108e-10,0.000,0.000
403427004.450182,403427005.060173,403427004.8401741,0.609991,1.651e-08,1.441e-09,0.488,0.091
403427039.246908,403427039.470428,403427039.3085151,0.22352,3.183e-09,5.924e-10,1.642,0.627
403427113.29116,403427114.808794,403427113.434934,1.517634,2.796e-09,5.472e-10,0.443,0.189
403427185.793311,403427186.051935,403427185.951403,0.258623,6.426e-10,2.610e-10,0.208,0.227
403427267.909249,403427267.99932,403427267.9673641,0.090071,1.471e-09,3.916e-10,0.395,0.235
403427446.270761,403427446.47063,403427446.358341,0.199869,1.145e-09,3.464e-10,1.747,1.105
403427612.809515,403427613.689488,403427613.2695,0.879972,3.835e-08,2.615e-09,0.685,0.095
403427716.442741,403427719.703735,403427719.33363307,3.260994,3.499e-09,6.074e-10,0.892,0.307
403427829.617285,403427830.487255,403427829.6572931,0.869969,6.777e-09,8.885e-10,0.934,0.245
403427904.440088,403427904.545752,403427904.482844,0.105664,7.379e-10,2.761e-10,1.317,1.021
403427918.891963,403427921.261839,403427920.811857,2.369876,5.042e-08,3.183e-09,0.659,0.085
403428139.431264,403428139.566813,403428139.45801806,0.135548,1.150e-09,3.464e-10,0.380,0.255
403428178.509498,403428179.064995,403428179.0353861,0.555497,1.255e-09,3.614e-10,1.008,0.579
403428193.264575,403428193.396455,403428193.39442205,0.13188,9.488e-10,3.163e-10,0.783,0.527
403428218.057787,403428218.610498,403428218.35273206,0.552711,1.240e-09,3.564e-10,0.328,0.218
403428346.553789,403428347.253759,403428346.56379807,0.69997,5.682e-08,3.599e-09,0.660,0.085
